ds,yhat,company,model
1997-05-15,-11.273981177061657,Amazon,Prophet
1997-05-16,-14.133472923454985,Amazon,Prophet
1997-05-19,-15.315471660584555,Amazon,Prophet
1997-05-20,-13.636678866263656,Amazon,Prophet
1997-05-21,-13.108621399854993,Amazon,Prophet
1997-05-22,-13.62411279360089,Amazon,Prophet
1997-05-23,-15.707678578371798,Amazon,Prophet
1997-05-27,-12.093307739586319,Amazon,Prophet
1997-05-28,-10.852800809601277,Amazon,Prophet
1997-05-29,-10.706992414808497,Amazon,Prophet
1997-05-30,-12.18993030209542,Amazon,Prophet
1997-06-02,-9.635141700264864,Amazon,Prophet
1997-06-03,-6.901741680500682,Amazon,Prophet
1997-06-04,-5.436890089606156,Amazon,Prophet
1997-06-05,-5.141598317375167,Amazon,Prophet
1997-06-06,-6.544902228182936,Amazon,Prophet
1997-06-09,-4.093664533211519,Amazon,Prophet
1997-06-10,-1.4761764672367854,Amazon,Prophet
1997-06-11,-0.14893828070481785,Amazon,Prophet
1997-06-12,-0.0006615149442561474,Amazon,Prophet
1997-06-13,-1.547959311491871,Amazon,Prophet
1997-06-16,0.6081583660860801,Amazon,Prophet
1997-06-17,3.2082803251312644,Amazon,Prophet
1997-06-18,4.573165487631713,Amazon,Prophet
1997-06-19,4.82032838398197,Amazon,Prophet
1997-06-20,3.4374217946576895,Amazon,Prophet
1997-06-23,6.49006074499986,Amazon,Prophet
1997-06-24,9.515652806703985,Amazon,Prophet
1997-06-25,11.359808125981495,Amazon,Prophet
1997-06-26,12.131143175216906,Amazon,Prophet
1997-06-27,11.306505387050212,Amazon,Prophet
1997-06-30,16.10689846819832,Amazon,Prophet
1997-07-01,19.689722094432526,Amazon,Prophet
1997-07-02,22.051891371410534,Amazon,Prophet
1997-07-03,23.2858532879212,Amazon,Prophet
1997-07-07,28.25621851197258,Amazon,Prophet
1997-07-08,31.80879681987712,Amazon,Prophet
1997-07-09,34.00933915143795,Amazon,Prophet
1997-07-10,34.944270922673184,Amazon,Prophet
